City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
168,lazaro cardenas,17.9583,-102.2,81.99,74,3,6.26,MX,1684892934
169,pedra branca,-5.4542,-39.7172,73.08,79,94,2.3,BR,1684893774
170,aasiaat,68.7098,-52.8699,27.03,91,100,16.78,GL,1684893183
171,cobija,-11.0267,-68.7692,73.62,97,100,0.85,BO,1684893240
172,ust-nera,64.5667,143.2,37.54,97,100,7.05,RU,1684893174
173,brasilia de minas,-16.2064,-44.4333,66.85,63,100,10.22,BR,1684893618
174,nacala,-14.5428,40.6728,67.73,96,37,6.67,MZ,1684893774
175,puerto ayacucho,5.6639,-67.6236,77.32,91,97,0.92,VE,1684893774
176,revda,56.801,59.9303,62.22,50,11,1.9,RU,1684893243
177,kapuskasing,49.4169,-82.4331,42.89,87,75,4.61,CA,1684893214
178,port macquarie,-31.4333,152.9167,69.89,50,33,6.96,AU,1684893197
179,kodinsk,58.6881,99.1844,37.9,95,100,10.98,RU,1684893775
180,yamada,39.4667,141.95,55.38,65,94,11.34,JP,1684893775
181,fort mcmurray,56.7268,-111.381,51.39,71,100,20.71,CA,1684893775
182,luis correia,-2.8792,-41.6669,77.97,89,13,7.0,BR,1684893775
183,port saint john's,-31.6229,29.5448,60.4,59,9,6.11,ZA,1684893229
184,itaituba,-4.2761,-55.9836,76.75,95,100,2.15,BR,1684893543
185,kamalia,30.7333,72.65,88.12,38,11,4.23,PK,1684893776
186,port alfred,-33.5906,26.891,60.03,59,9,4.34,ZA,1684893776
187,cockburn town,21.4612,-71.1419,80.96,76,0,3.53,TC,1684893493
188,georgetown,5.4112,100.3354,85.95,70,20,4.61,MY,1684893066
189,ghormach,35.7306,63.7826,77.27,27,3,6.62,AF,1684893776
190,lihue,21.9789,-159.3672,81.64,78,100,14.97,US,1684893227
191,mzimba,-11.9,33.6,62.04,86,3,10.58,MW,1684893777
192,klyuchi,52.2667,79.1667,62.71,37,0,10.2,RU,1684893777
193,port antonio,18.18,-76.4612,82.31,82,44,4.59,JM,1684893777
194,mwingi,-0.9344,38.0601,64.18,89,79,4.63,KE,1684893777
195,isafjordur,66.0755,-23.124,36.54,93,94,16.4,IS,1684893777
196,arroyo,41.6096,-4.7969,56.1,84,0,10.36,ES,1684893777
197,bubaque,11.2833,-15.8333,81.41,73,100,11.43,GW,1684893230
198,sao tome,0.3365,6.7273,78.28,83,82,3.76,ST,1684893778
199,santiago de cao,-7.9589,-79.2392,73.53,88,100,10.36,PE,1684893778
200,west island,-12.1568,96.8225,84.18,74,9,3.44,CC,1684893778
201,calca,-13.3333,-71.95,54.75,86,100,4.32,PE,1684893778
202,altdorf,49.3875,11.3572,48.79,78,83,5.17,DE,1684893778
203,kill devil hills,36.0307,-75.676,62.98,90,100,18.41,US,1684893779
204,ghazni,33.5536,68.4269,60.04,52,5,5.3,AF,1684893779
205,kattivakkam,13.2167,80.3167,86.09,82,2,15.37,IN,1684893779
206,san antonio de pale,-1.4014,5.6325,79.23,81,12,6.62,GQ,1684893198
207,sinop,41.7711,34.8709,52.63,94,100,2.15,TR,1684893245
208,okha,53.5739,142.9478,41.31,75,100,17.83,RU,1684893779
209,tolanaro,-25.0319,46.9987,60.87,94,20,4.61,MG,1684893779
210,weining,26.85,104.2333,67.32,62,60,9.06,CN,1684893780
211,sakaiminato,35.55,133.2333,66.18,59,40,9.22,JP,1684893780
212,karratha,-20.7377,116.8463,74.93,24,1,8.14,AU,1684893266
213,nadi,-17.8,177.4167,82.4,69,75,11.5,FJ,1684893589
214,kapa'a,22.0752,-159.319,82.38,78,100,14.97,US,1684893221
215,burela de cabo,43.65,-7.4,57.38,94,53,11.9,ES,1684893780
216,point pedro,9.8167,80.2333,85.3,74,34,16.15,LK,1684893781
217,weno,7.4515,151.8468,85.95,84,100,0.0,FM,1684893781
218,korla,41.7597,86.1469,66.67,27,99,3.76,CN,1684893781
219,enewetak,11.3474,162.3373,83.39,70,100,12.75,MH,1684893229
220,ishigaki,24.3448,124.1572,78.93,65,20,6.91,JP,1684893782
221,mahina,-17.5065,-149.489,82.17,69,75,13.8,PF,1684893783
222,kavieng,-2.5744,150.7967,81.75,80,99,8.88,PG,1684893783
223,anar darah,32.7587,61.654,78.46,24,0,7.72,AF,1684893784
224,zambezi,-13.5432,23.1047,57.52,56,10,4.94,ZM,1684893784
225,mili,6.0815,171.735,81.66,79,81,10.63,MH,1684893209
226,las vegas,36.175,-115.1372,95.27,13,20,20.71,US,1684893535
227,arraial do cabo,-22.9661,-42.0278,72.54,82,12,16.31,BR,1684893785
228,nogliki,51.8333,143.1667,40.75,84,100,9.22,RU,1684893786
229,grande prairie,55.1667,-118.8027,44.78,93,100,9.22,CA,1684893693
